"Export from dimension Hierarchy: plan_currency:plan_currency, all elements in index order. Total elements=5"
"plan_currency","plan_currency"
"Sort parameters :","BYNAME","","ASCENDING",""
"Reserved"
"Line_Type","Element","Value_1","Value_2","Value_3"
"A","CurrencyName","AA"
"A","CurrencyName_Brasilian","AA"
"A","CurrencyName_ChineseSimplified","AA"
"A","CurrencyName_ChineseTraditional","AA"
"A","CurrencyName_Croatian","AA"
"A","CurrencyName_Czech","AA"
"A","CurrencyName_Danish","AA"
"A","CurrencyName_English","AA"
"A","CurrencyName_Finnish","AA"
"A","CurrencyName_French","AA"
"A","CurrencyName_German","AA"
"A","CurrencyName_Hungarian","AA"
"A","CurrencyName_Italian","AA"
"A","CurrencyName_Japanese","AA"
"A","CurrencyName_Korean","AA"
"A","CurrencyName_Norwegian","AA"
"A","CurrencyName_Polish","AA"
"A","CurrencyName_Romanian","AA"
"A","CurrencyName_Russian","AA"
"A","CurrencyName_Spanish","AA"
"A","CurrencyName_Swedish","AA"
"A","CurrencyName_Turkish","AA"
"A","Symbol","AS"
"V","USD","Attr Name-CurrencyName","Attr Value-US Dollar"
"V","USD","Attr Name-CurrencyName_Brasilian","Attr Value-Dólar americano"
"V","USD","Attr Name-CurrencyName_ChineseSimplified","Attr Value-美元"
"V","USD","Attr Name-CurrencyName_ChineseTraditional","Attr Value-美元"
"V","USD","Attr Name-CurrencyName_Croatian","Attr Value-Američki dolar"
"V","USD","Attr Name-CurrencyName_Czech","Attr Value-Americký dolar"
"V","USD","Attr Name-CurrencyName_Danish","Attr Value-Amerikanske dollar"
"V","USD","Attr Name-CurrencyName_English","Attr Value-US Dollar"
"V","USD","Attr Name-CurrencyName_Finnish","Attr Value-Yhdysvaltain dollari"
"V","USD","Attr Name-CurrencyName_French","Attr Value-US-Dollar"
"V","USD","Attr Name-CurrencyName_German","Attr Value-US-Dollar"
"V","USD","Attr Name-CurrencyName_Hungarian","Attr Value-Amerikai dollár"
"V","USD","Attr Name-CurrencyName_Italian","Attr Value-Dollaro USA"
"V","USD","Attr Name-CurrencyName_Japanese","Attr Value-米ドル"
"V","USD","Attr Name-CurrencyName_Korean","Attr Value-US 달러"
"V","USD","Attr Name-CurrencyName_Norwegian","Attr Value-US dollar"
"V","USD","Attr Name-CurrencyName_Polish","Attr Value-Dolar amerykański"
"V","USD","Attr Name-CurrencyName_Romanian","Attr Value-Dolar Statele Unite"
"V","USD","Attr Name-CurrencyName_Russian","Attr Value-Доллар США"
"V","USD","Attr Name-CurrencyName_Spanish","Attr Value-Dólar EE.UU."
"V","USD","Attr Name-CurrencyName_Swedish","Attr Value-US-dollar"
"V","USD","Attr Name-CurrencyName_Turkish","Attr Value-ABD Doları"
"V","USD","Attr Name-Symbol","Attr Value-$"
